listing-location,price,bed,bath,listing-floorarea,harga_permeter_persegi,price_formatted,district,sub-district,area
"Ciputat, Tangerang Selatan, Banten",1200000000.0,2.0,1.0,33.0,20000000.0,"1,200,000,000",Ciputat,Ciputat,
"Jl. Semeru 1 A2 No. 17, jombang, ciputat, Ciputat, Tangerang Selatan, Banten",3840000000.0,5.0,4.0,200.0,14490566.0,"3,840,000,000",Ciputat,Ciputat,
"Graha Raya, Serpong Utara, Tangerang Selatan, Banten",1550000000.0,2.0,1.0,110.0,15816327.0,"1,550,000,000",Serpong,Serpong Utara,Serpong
"Bintaro, Tangerang Selatan, Banten",2100000000.0,2.0,2.0,98.0,23333333.0,"2,100,000,000",,Bintaro,Bintaro
"Serpong, Serpong, Tangerang Selatan, Banten",500000000.0,3.0,2.0,55.0,8333333.0,"500,000,000",Serpong,Serpong,Serpong
"Jl Wortel No 7 Sektor 1.6 Griya Loka, Serpong, Tangerang Selatan, Banten",1950000000.0,4.0,4.0,118.0,21666667.0,"1,950,000,000",Serpong,Serpong,Serpong
"Serpong, Tangerang Selatan, Banten",2400000000.0,3.0,2.0,92.0,28571429.0,"2,400,000,000",Serpong,Serpong,Serpong
"gading serpong, Pondok Aren, Tangerang Selatan, Banten",2989000000.0,4.0,3.0,129.0,23351562.0,"2,989,000,000",Pondok Aren,Pondok Aren,Gading Serpong
"gading serpong, Pamulang, Tangerang Selatan, Banten",2989000000.0,4.0,3.0,129.0,23351562.0,"2,989,000,000",Pamulang,Serpong,Pamulang
"Serpong, Serpong, Tangerang Selatan, Banten",500000000.0,3.0,2.0,55.0,8333333.0,"500,000,000",Serpong,Serpong,Serpong
"Sektor 6, Gading Serpong, Tangerang Selatan, Banten",900000000.0,2.0,1.0,50.0,12500000.0,"900,000,000",Serpong,Serpong,Gading Serpong
"Bintaro, Tangerang Selatan, Banten",1670000000.0,2.0,1.0,45.0,23194444.0,"1,670,000,000",,Bintaro,Bintaro
